ich,I
fangen,catch
fort,continued
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,will
ziel,goal
benutzt,used
bewegung,movement
jemandem,someone
wünschte,wished
worte,words
kamen,came
welcher,which
zahlen,pay
anfang,beginning
legen,place
erinnerst,remember
anwalt,attorney
fahr,drive
sitzt,sits
hilf,help
offen,open
schönen,beautiful
monsieur,gentleman
müsste,should
arme,poor
bier,beer
fürs,for the
partner,partner
klein,small
david,David
klappe,flap
süß,sweet
herum,around
finger,finger
ehe,before
rolle,role
ließ,let
gleiche,same
monat,month
hochzeit,wedding
max,max
führt,leads
paris,Paris
wach,awake
wozu,for what reason
arm,arm
geschrieben,written
chef,boss
benutzen,use
informationen,information
erledigt,completed
hoffentlich,hopefully
müsst,must
fühlt,feels
tanzen,dance
ansehen,view
darfst,may
zuhause,at home
wunderbar,wonderful
hältst,hold
reise,trip
gewonnen,won
dame,lady
irgendwann,sometime
chffffff,chffffff
alex,alex
steckt,stuck
jedenfalls,anyway
schreit,screams
tolle,great
rüber,over
tschüss,bye
nennt,calls
raum,space
heiß,hot
foto,photo
kalt,cold
paul,Paul
irgendetwas,anything
weile,while
bisher,until now
minute,minute
unbedingt,absolutely
zug,train
sekunden,seconds
wofür,for what
erzähl,tell
nen,nen
beweise,proofs
nahm,took
aller,all
freut,happy
seele,soul
schießen,shoot
müde,tired
dauert,lasts
magst,like
harry,Harry
brief,letter
gelernt,learned
sucht,seeks
bekannt,known
weitere,more
unfall,accident
dahin,there
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same
herzen,hearts
schlagen,hit
wütend,angry
weise,way
damen,ladies
darin,in it
gottes,God's
holt,gets
fehlt,missing
vorsicht,caution
heiße,hot
beweisen,prove
gehabt,had
zumindest,at least
vermisst,missing
hübsch,pretty
kriegt,gets
verbindung,connection
tief,deep
richtung,direction
lage,location
sowieso,anyway
kraft,power
normal,normal
lauf,run
ehre,honor
stell,set
geschenk,gift
bar,bear
tasche,bag
gelesen,read
gekauft,bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
lügen,lie
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,stand
nächstes,next
gearbeitet,worked
preis,price
witz,joke
meinte,said
liste,list
geist,spirit
neben,next to
gesucht,wanted
firma,company
süße,sweetness
rücken,back
schrecklich,terrible
letzter,last
verliebt,in love
öffnen,open
redet,talks
boot,boat
seltsam,strange
versteckt,hidden
fürchte,fear
verschwinde,disappear
erwischt,caught
verkauft,sold
tante,aunt
erwarten,expect
pferd,horse
wunder,wonder
sauer,sour
vermutlich,allegedly
näher,closer
major,major
jung,young
majestät,majesty
aussehen,look
ans,to
de,de
and,and
links,left
großes,large
welches,which
beschützen,protect
geboren,born
erreichen,to reach
punkt,point
kindern,children
kirche,church
verraten,betrayed
selber,himself
befehl,command
colonel,colonel
fährt,drives
zieht,pulls
geburtstag,birthday
haut,skin
wette,bet
reich,rich
sekunde,second
fahre,drive
schwöre,swear
geredet,talked
james,James
madame,Madam
eigene,own
zeiten,times
traurig,sad
anruf,call
nachrichten,news
frieden,peace
karte,map
güte,quality
euren,your
diesmal,this time
schade,too bad
persönlich,personal
kriege,wars
stirbt,dies
bleibe,stay
verändert,changed
sonne,sun
lieb,dear
nämlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,court
nase,nose
ewig,forever
singen,sing
bank,bank
beschäftigt,busy
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,apparently
naja,Oh well
henry,Henry
gefühle,feelings
fuß,foot
show,show
überraschung,surprise
geheimnis,secret
fbi,FBI
kontakt,contact
gold,gold
drogen,drugs
regierung,government
wein,wine
kriegst,get
ermordet,murdered
fotos,photos
entfernt,removed
geschlafen,slept
manche,some
erledigen,complete
ran,ran
gegenüber,opposite
schlaf,sleep
lust,desire
wunderschön,beautiful
witzig,funny
nick,Nick
zerstört,destroyed
übrigens,by the way
willen,sake
heim,home
richtigen,correct
deines,yours
namens,called
zeigt,shows
geliebt,loved
gehören,belong
brachte,brought
herrn,Mr.
blick,view
besuch,visit
schlechte,bad
bewegen,move
haare,hair
antworten,answer
präsident,president
sagtest,said
hoffnung,hope
stecken,put
lebe,live
rechts,right
interessant,interesting
entscheiden,decide
miteinander,each other
meint,thinks
liebst,love
indem,by
bleibst,stay
kümmere,take care
wohnen,reside
weder,neither
möglichkeit,possibility
kaputt,broken
bekomme,get
flugzeug,airplane
vergangenheit,past
anderer,other
zweite,second
armee,army
jim,Jim
tee,tea
entweder,either
weiss,white
don,Don
detective,detective
aufhalten,stop
stellt,represents
verspreche,promise
überrascht,surprised
sauber,clean
hau,hit
mark,mark
schlag,blow
sheriff,sheriff
untertitel,subtitles
setzt,sets
frag,ask
vaters,father's
nervös,nervous
gesellschaft,company
verstecken,hide
schuldig,guilty
hals,neck
schützen,protect
besuchen,visit
of,of
passen,fit
überleben,survive
erhalten,receive
teilen,split
gebäude,building
schicksal,fate
zeichen,sign
richter,judge
besorgt,worried
küche,kitchen
lief,ran
vergnügen,enjoyment
wüsste,would know
volk,people
lhr,Your
herausfinden,find out
königin,queen
soldaten,soldiers
feiern,celebrate
situation,situation
lag,lay
gelassen,calm
allerdings,however
soweit,as far as
gefahren,driven
verstand,mind
bord,board
schönes,beautiful
jimmy,Jimmy
billy,Billy
angefangen,begun
lee,lee
fühlst,feel
bob,bob
mussten,had to
rat,council
worauf,what
gebeten,asked
tony,Tony
kamera,camera
achtung,danger
lieutenant,lieutenant
ganzes,whole
schuhe,shoes
sarah,Sarah
glückwunsch,congratulations
niemandem,no one
gibst,give
statt,instead of
übernehmen,take over
gegend,area
wald,forest
al,al
la,la
nimmst,take
danny,Danny
erkennen,recognize
glas,glass
falsche,false
verantwortlich,responsible
jesus,Jesus
stöhnt,moans
herein,in
kleid,a dress
zerstören,destroy
jawohl,yes indeed
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helped
erster,first
wohnt,lives
schritt,step
guck,look
nahe,vicinity
aussieht,looks like
beginnen,start
dachten,thought
band,band
ungefähr,approximately
aufgabe,task
neun,nine
furchtbar,terrible
drinnen,inside
zuvor,before
charles,Charles
freue,am happy
amerika,America
übrig,left over
spur,track
falschen,false
sergeant,sergeant
melden,report
helfe,help
werfen,throw
bill,bill
haltet,hold
erinnert,remembers
hängt,hangs
freude,joy
ehemann,husband
erschossen,shot
verzeihen,pardon
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damned
brauch,need
gewusst,known
vorne,in front
stopp,stop
übel,bad
schlampe,slut
schöner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
pro,per
leisten,afford
davor,before
richard,Richard
bedeuten,mean
ball,ball
mitnehmen,take along
gespielt,played
to,to
schwierigkeiten,difficulties
hälfte,half
kannte,knew
stehe,stand
maria,Mary
planeten,planets
schwanger,pregnant
gruppe,group
anna,Anna
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
händen,hands
versteht,understands
drehen,turn
eis,ice
danken,thank
erfolg,success
zufrieden,satisfied
schließen,close
besorgen,obtain
wochenende,weekend
worüber,about what
stimmen,voices
nehmt,take
martin,Martin
m,m
witze,jokes
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,your
prinzessin,princess
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,same
fernsehen,TV
wünsche,wishes
schließlich,finally
gefangen,caught
schätzchen,baby
seh,see
schwierig,difficult
angebot,offer
nah,close
jane,Jane
gewartet,waited
kümmert,cares
ring,ring
rennen,run
lied,song
eier,eggs
welchen,which
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,trap
drink,drink
insel,island
dauern,last
daher,therefore
zufällig,randomly
dorf,village
clark,Clark
bewegt,moved
mitten,middle
bullen,bulls
feind,enemy
einverstanden,agreed
neuer,newer
bauen,build
trägt,carries
hängen,hang
freunden,friends
deren,whose
halb,half
verpasst,missed
sprach,spoke
leise,quiet
armen,poor
wusstest,knew
fanden,found
unternehmen,company
träume,dreams
schläft,sleeps
kostet,costs
spiele,games
unseres,our
entlang,along
johnny,Johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,earn
aha,Aha
unterhalten,entertain
eingeladen,invited
schaden,damage
genannt,called
beenden,finish
ray,ray
geändert,changed
thomas,Thomas
lächerlich,ridiculous
geschlagen,beaten
park,park
schätzen,treasure
männern,men
t,t
beginnt,begins
ehren,honor
größte,largest
energie,energy
fleisch,meat
besonderes,special
besteht,consists
reichen,are sufficient
robert,Robert
zeitung,newspaper
worum,what
nachgedacht,thought about
betrunken,drunk
sowas,like this
patienten,patients
gespräch,conversation
leiden,suffer
taxi,taxi
tötet,kills
see,lake
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,Daniel
sahen,saw
wand,wall
bus,bus
lhre,Your
angriff,attack
verhalten,behave
loch,hole
interesse,interest
treten,step
quatsch,nonsense
trifft,meets
polizist,policeman
blumen,flowers
neuigkeiten,news
bringst,bring
flasche,bottle
rief,called
schuss,shot
fassen,grasp
meer,sea
konntest,could
schafft,creates
maschine,machine
spreche,speak
bein,leg
eddie,Eddie
bekommst,get
verbringen,spend
bücher,books
blöd,stupid
frühstück,breakfast
tommy,Tommy
meter,meter
bilder,pictures
aufpassen,watch out
claire,Claire
dessen,whose
muß,must
freuen,be happy
engel,angel
offenbar,apparently
gelegenheit,opportunity
fang,catch
lüge,lie
ohren,ears
au,ouch
angetan,impressed
beeil,hurry
brechen,break
brüder,brothers
zeitpunkt,time
keinem,no one
ecke,corner
brücke,bridge
druck,pressure
mitgebracht,brought along
seufzt,sighs
date,date
haufen,heap
oma,granny
auftrag,order
leer,empty
entkommen,escape
bobby,Bobby
weißen,white
lösung,solution
wart,wait
pause,pause
irre,crazy
gestellt,placed
keller,cellar
gebrochen,broken
weinen,cry
nutzen,to use
wünschen,wish
fragt,asks
maul,mouth
verantwortung,responsibility
schloss,lock
hut,hat
lächeln,smile
ryan,Ryan
red,red
grad,degree
zweiten,second
hinaus,beyond
mitkommen,come along
vorhin,earlier
fahrt,drive
gemeint,meant
ernsthaft,seriously
gebaut,built
bombe,bomb
hasst,hates
versteh,understand
kosten,cost
zeige,show
traf,met
eigenes,own
haar,hair
fragte,asked
jason,Jason
operation,operation
befehle,commands
schmerzen,pains
erklärt,explained
steve,Steve
dach,roof
folge,consequence
gelaufen,run
schwarze,black
dankbar,thankful
gehirn,brain
töte,kill
mädels,girls
mut,courage
heilige,holy
laura,Laura
tier,animal
system,system
mannes,man's
wahnsinn,craziness
nee,no
rose,rose
club,club
geschlossen,closed
hintern,butt
is,is
thema,theme
fiel,fell
gehalten,held
dorthin,there
urlaub,vacation
steig,climb
vorwärts,forward
überprüfen,check
besseres,better
beweis,proof
baum,tree
gebt,give
funktionieren,function
anscheinend,apparently
lehrer,teacher
hoffen,hope
bessere,better
isst,eats
nachmittag,afternoon
nem,nem
risiko,risk
chuck,Chuck
knast,prison
entschuldigt,excused
gilt,applies
held,hero
daraus,from it
erstes,first
fräulein,miss
rachel,Rachel
prima,great
brauchte,needed
gewalt,force
dean,dean
liebes,Dear
schaffst,create
nachdenken,ponder
tor,goal
erfahrung,experience
pläne,plans
jagen,hunting
katze,cat
runde,round
deutsche,German
schwanz,tail
taten,did
lord,lord
dringend,urgent
commander,commander
großvater,grandfather
sommer,summer
gezeigt,shown
hinterlassen,leave behind
gewissen,conscience
getrunken,drunk
wahre,true
luke,hatch
kunden,customers
kate,Kate
zeugen,witness
geplant,planned
amanda,Amanda
erreicht,reached
stören,disturb
stein,stone
atmen,breathe
hose,pants
weiße,white
sprichst,speak
größer,larger
schickt,sends
city,City
prinz,prince
behandelt,treated
tote,dead
überlegen,superior
karten,cards
it,it
d,d
restaurant,restaurant
welchem,which
roger,Roger
natur,nature
carter,Carter
emily,Emily
mami,mommy
verschwindet,disappears
lautet,is
streit,dispute
küssen,kiss
sprich,speak
längst,long ago
fängt,catches
drüber,over it
gingen,went
erlaubt,allowed
einzigen,only
bad,bathroom
schmeckt,tastes
kugel,bullet
normalerweise,normally
schwarzen,black
rauf,up
flug,flight
beruhigen,calm
walter,Walter
halbe,half
dan,Dan
geschieht,happens
einiges,some
entdeckt,discovered
morgens,morning
schlechter,worse
vollkommen,completely
gelogen,lied
verfolgt,pursued
college,college
weiteren,further
chris,Chris
louis,Louis
eh,eh
schwert,sword
hunde,dogs
steigen,climb
verdammter,damned
dürfte,should
riecht,smells
labor,laboratory
bat,asked
tim,tim
arthur,Arthur
mindestens,at least
fisch,fish
eurem,your
füße,feet
stehst,stand
erschießen,shoot
kuchen,cake
versuchte,tried
zustand,condition
wunsch,wish
gäste,guests
erwähnt,mentioned
farbe,color
van,van
einigen,some
zufall,coincidence
garten,garden
junger,younger
autos,cars
abgesehen,apart
fair,fair
vertraut,trusted
koffer,suitcase
hieß,was called
kurs,course
wirkt,works
idioten,idiots
netter,nicer
seitdem,since
angegriffen,attacked
geschichten,stories
wahnsinnig,insane
ähnlich,similar
lily,lily
aufgeben,give up
england,England
entführt,kidnapped
ms.,ms.
mistkerl,bastard
solchen,such
ner,ner
geschossen,shot
lager,warehouse
besprechen,discuss
reihe,row
polizisten,police officers
vogel,bird
legt,lays
strand,beach
amerikaner,American
schwarz,black
fern,remote
fick,fuck
scherz,joke
san,san
erzählte,told
wichser,wanker
jake,Jake
langweilig,boring
womit,with which
geschäfte,shops
my,my
kapiert,got it
nachher,afterward
verlangt,required
schlägt,beats
überzeugt,convinced
irgendjemand,anyone
rot,red
soldat,soldier
vorbereitet,prepared
geschah,happened
reisen,travel
termin,appointment
gang,gang
stehlen,steal
rechte,right
rache,revenge
bemerkt,noticed
frankreich,France
stört,bothers
radio,radio
beruhige,calm down
pferde,horses
vertrag,contract
arbeitest,work
dienst,service
zählt,counts
fragst,ask
wesen,being
bürgermeister,mayor
emma,Emma
fluss,flow
woran,what
geblieben,remained
durcheinander,mixed up
me,me
ted,ted
nette,nice
test,test
mister,mister
dadurch,through this
direktor,director
wichtiger,more important
kevin,Kevin
scott,Scott
karriere,career
akte,file
erinnerung,memory
großmutter,grandmother
erzähle,tell
lösen,solve
bravo,Bravo
griff,handle
verfolgen,track
zweifel,doubt
such,search
sprache,language
nerven,annoy
officer,officer
andy,Andy
langer,long
ziehe,pull
entlassen,dismissed
zweimal,twice
abholen,pick up
washington,Washington
kollegen,colleagues
doc,doc
fass,barrel
szene,scene
robin,robin
scheinen,seem
bösen,evil
schaffe,create
pflicht,duty
wache,guard
neulich,recently
beeilen,hurry up
knie,knee
alice,Alice
lauter,louder
spannende,exciting
unschuldig,innocent
folgt,follows
schutz,protection
weshalb,for what reason
geheiratet,married
woanders,elsewhere
wurdest,were
kuss,kiss
verhindern,impede
erklärung,explanation
video,video
rom,Rome
klug,smart
kräfte,forces
verlangen,demand
außerhalb,outside
opa,grandpa
selbstverständlich,of course
aufstehen,stand up
hassen,hate
pete,pete
gebrauchen,use
geglaubt,believed
milch,milk
trink,drink
gefeuert,fired
erinnerungen,memories
müssten,would have to
suchst,looking for
fährst,drive
kochen,cook
schwach,weak
schreibt,writes
schulden,debts
hinein,into
simon,Simon
grenze,border
braut,bride
gebraucht,needed
peinlich,awkward
