Unnamed: 0,german,english
141,heute,today
142,kommt,comes
143,wollen,want
144,damit,with it
145,ganz,quite
146,wäre,were
147,wollte,wanted
148,weißt,know
149,ok,OK
150,sicher,secure
151,gesagt,said
152,frau,woman
153,nun,so
154,bis,until
155,wurde,became
156,leid,sorrow
157,na,
158,kannst,can
159,macht,might
160,dieser,this
161,zurück,back
162,lassen,let
163,hallo,Hello
164,meinen,mean
165,gott,God
166,seine,his
167,hätte,would have
168,zwei,two
169,könnte,could
170,genau,Exactly
171,waren,were
172,zur,to
173,lass,let
174,klar,clear
175,morgen,morning
176,leute,people
177,vater,father
178,schön,nice
179,glaube,believe
180,mr.,Mr.
181,ab,away
182,gerade,straight
183,tag,day
184,gesehen,seen
185,reden,talk
186,wohl,probably
187,liebe,love
188,sollte,should
189,sagte,said
190,unsere,our
191,jemand,someone
192,geld,money
193,durch,through
194,ob,whether
195,keinen,none
196,mutter,mother
197,raus,out
198,gemacht,made
199,paar,couple
200,mach,do
201,passiert,happened
202,dachte,thought
203,besser,better
204,musst,must
205,wieso,how come
206,sir,sir
207,dieses,this
208,selbst,himself
209,gehört,heard
210,möchte,want
211,ohne,without
212,hör,hear
213,her,here
214,sag,say
215,meiner,mine
216,anderen,others
217,helfen,help
218,nacht,night
219,finden,find
220,diesen,this
221,gute,good
222,wirst,will
223,lange,long
224,natürlich,naturally
225,ach,Oh
226,meinem,my
227,gar,even
228,ins,into the
229,sei,be
230,dort,there
231,weiter,further
232,geben,give
233,seit,since
234,gleich,even
235,sagt,says
236,recht,right
237,ihren,your
238,richtig,correct
239,ordnung,order
240,vom,from the
241,hören,hear
242,sieht,sees
243,davon,of that
244,dafür,for that
245,geh,go
246,diesem,this
247,wegen,because of
248,hause,home
249,sollten,should
250,mädchen,girl
251,hin,there
252,sollen,should
253,abend,evening
254,haus,a house
255,denke,think
256,viele,many
257,drei,three
258,deinen,your
259,freund,friend
260,guten,good
261,unser,our
262,warte,wait
263,machst,do
264,menschen,people
265,essen,eat
266,angst,fear
267,bleiben,remain
268,zusammen,together
269,welt,world
270,unter,under
271,habt,have
272,schnell,fast
273,andere,other
274,tot,dead
275,getan,did
276,darf,may
277,erst,first
278,rein,pure
279,stimmt,true
280,nehmen,take
281,kinder,children
282,eines,one
283,glauben,believe
284,bringen,bring
285,ganze,whole
286,genug,enough
287,scheiße,shit
288,brauchen,need
289,gegen,against
290,moment,moment
291,junge,boy
292,steht,stands
293,sonst,otherwise
294,musik,music
295,arbeit,work
296,seid,are
297,ihrer,their
298,fragen,questions
299,herr,Mr
300,dabei,included
301,heißt,is called
302,familie,family
303,warten,wait
304,niemand,no one
305,sofort,immediately
306,bevor,before
307,jahre,years
308,einmal,once
309,problem,problem
310,sohn,son
311,wann,When
312,brauche,need
313,fertig,complete
314,halt,stop
315,allein,alone
316,beim,at the
317,sprechen,speak
318,beide,both
319,gefunden,found
320,hatten,had
321,sache,matter
322,hilfe,help
323,verdammt,damned
324,ne,no
325,jeder,everyone
326,warst,were
327,gern,gladly
328,konnte,could
329,darüber,about it
330,halten,hold
331,siehst,see
332,verstehe,understand
333,jahren,years
334,kam,came
335,kind,child
336,wusste,knew
337,wahr,true
338,seinen,his
339,dazu,in addition
340,bruder,brother
341,daran,to it
342,ihrem,their
343,denken,think
344,könnten,could
345,dank,thanks to
346,würden,would
347,lieber,Dear
348,fall,case
349,deiner,your
350,sehe,see
351,egal,doesn't matter
352,kennen,know
353,deinem,your
354,vergessen,forget
355,frage,ask
356,mache,make
357,komme,come
358,sage,saw
359,mag,likes
360,sieh,see
361,echt,real
362,gib,give
363,eigentlich,actually
364,jeden,every
365,dad,dad
366,gab,gave
367,uhr,clock
368,stadt,city
369,männer,men
370,baby,baby
371,fahren,drive
372,namen,names
373,bekommen,receive
374,kopf,head
375,hi,hi
376,gehe,go
377,kleine,small
378,später,later
379,glück,happiness
380,letzte,last
381,freunde,friends
382,n,n
383,all,all
384,darauf,on it
385,ende,end
386,dr.,Dr.
387,bald,soon
388,töten,kill
389,dinge,things
390,meinst,mean
391,toll,great
392,eins,one
393,minuten,minutes
394,vielen,many
395,bereit,ready
396,weit,far
397,ahnung,idea
398,seiner,his
399,bisschen,a little
400,tür,door
401,auto,car
402,jungs,guys
403,eure,your
404,augen,eyes
405,polizei,police
406,stehen,stand
407,sterben,die
408,hätten,would have
409,draußen,outside
410,kenne,know
411,fast,almost
412,runter,down
413,vorbei,over
414,treffen,meet
415,gerne,gladly
416,dran,your turn
417,wurden,became
418,arbeiten,work
419,mom,mom
420,verrückt,crazy
421,neue,new
422,ging,went
423,hinter,behind
424,sorgen,care for
425,einzige,only
426,jemanden,someone
427,darum,therefore
428,tochter,daughter
429,braucht,needs
430,idee,idea
431,schwester,sister
432,drin,inside
433,ruhig,quiet
434,sah,saw
435,ganzen,entire
436,spät,late
437,ziemlich,quite
438,solltest,should
439,name,name
440,sogar,even
441,kurz,short
442,kerl,guy
443,frauen,women
444,liegt,lies
445,suchen,seek
446,finde,find
447,je,each
448,woher,from where
449,lang,long
450,job,job
451,keiner,none
452,seinem,his
453,hört,hears
454,verstehen,understand
455,spielen,play
456,s.,see
457,überhaupt,at all
458,teufel,devil
459,verstanden,understood
460,verloren,lost
461,große,size
462,hand,hand
463,grund,reason
464,jahr,year
465,kommst,come
466,mama,mama
467,ruhe,quiet
468,gewesen,been
469,tod,death
470,stunden,hours
471,hoffe,hope
472,denkst,think
473,oben,above
474,gestern,yesterday
475,versuchen,attempt
476,art,type
477,letzten,last
478,schatz,treasure
479,endlich,finally
480,he,he
481,nimm,take
482,etwa,approximately
483,erzählt,told
484,läuft,running
485,schwer,difficult
486,anders,different
487,miss,miss
488,musste,had to
489,fünf,five
490,wasser,water
491,lässt,lets
492,erste,first
493,versucht,tried
494,gekommen,came
495,geschichte,story
496,wenig,few
497,holen,fetch
498,bedeutet,means
499,nett,nice
500,wahrheit,truth
501,woche,week
502,bringt,brings
503,deshalb,for this reason
504,welche,which
505,bestimmt,certainly
506,hoch,high
507,alter,age
508,sagst,say
509,schau,look
510,ah,uh
511,land,country
512,zimmer,room
513,wagen,dare
514,vier,four
515,gefallen,fallen
516,spaß,fun
517,niemals,never
518,schuld,fault
519,getötet,killed
520,wollten,wanted
521,verlassen,leave
522,zeigen,show
523,beste,best
524,ernst,serious
525,unserer,our
526,denen,those
527,ort,location
528,bleibt,remains
529,würdest,would
530,manchmal,sometimes
531,glaubst,believe
532,seite,page
533,lasst,let
534,zwischen,between
535,eben,even
536,während,while
537,spiel,game
538,nehme,take
539,ersten,first
540,guter,goods
541,chance,chance
542,freundin,girlfriend
543,krieg,war
544,gefällt,pleases
545,kleinen,small
546,erzählen,tell
547,anderes,other
548,tage,days
549,entschuldigen,excuse
550,wichtig,important
551,gehst,go
552,allen,all
553,bett,bed
554,mrs.,Mrs.
555,sachen,things
556,the,the
557,schlecht,bad
558,schule,school
559,entschuldigung,excuse
560,wort,word
561,john,John
562,hättest,would have
563,wären,would be
564,typ,type
565,schlafen,sleep
566,äh,uh
567,tu,you
568,euer,your
569,captain,captain
570,gesicht,face
571,falls,if
572,neuen,new
573,bloß,just
574,unten,below
575,teil,part
576,beiden,both
577,mensch,person
578,kleiner,smaller
579,stellen,place
580,oft,often
581,sorge,worries
582,gedacht,thought
583,tust,do
584,trinken,drink
585,einige,some
586,dies,this
587,ding,thing
588,unseren,our
589,kriegen,get
590,blut,blood
591,ehrlich,honest
592,eltern,parents
593,scheint,appears
594,herz,heart
595,jack,Jack
596,glücklich,happy
597,alte,old
598,alt,old
599,bleib,stay
600,wiedersehen,see you again
601,frei,free
602,wen,who
603,drauf,on it
604,möglich,possible
605,irgendwie,somehow
606,reicht,suffices
607,fest,firmly
608,besten,best
609,waffe,weapon
610,kaum,barely
611,irgendwas,something
612,klingt,sounds
613,platz,place
614,brauchst,need
615,rede,speech
616,papa,papa
617,falsch,incorrect
618,sondern,rather
619,alten,old
620,nummer,number
621,früher,earlier
622,jungen,young
623,wohin,where
624,außer,except
625,früh,early
626,setzen,set
627,zuerst,first
628,wahrscheinlich,probably
629,dürfen,may
630,jede,every
631,arsch,ass
632,telefon,phone
633,tue,do
634,kennst,know
635,willkommen,welcome
636,plan,plan
637,großen,large
638,retten,save
639,hierher,here
640,wär,would be
641,bring,bring
642,fehler,mistake
643,wollt,want
644,dollar,dollar
645,zehn,ten
646,allem,everything
647,pass,passport
648,nächste,next
649,stunde,hour
650,hände,hands
651,gegeben,given
652,menge,crowd
653,langsam,slow
654,bereits,already
655,wartet,waits
656,sechs,six
657,lieben,love
658,meines,mine
659,büro,office
660,nächsten,next
661,gebe,give
662,wochen,weeks
663,ruf,call
664,schaffen,create
665,leider,unfortunately
666,scheiß,shit
667,hölle,hell
668,trotzdem,despite it
669,doktor,doctor
670,tja,well
671,new,new
672,voll,full
673,film,film
674,überall,everywhere
675,hund,dog
676,geworden,become
677,direkt,direct
678,wolltest,wanted
679,tat,did
680,denkt,thinks
681,schiff,ship
682,neues,new
683,wem,whom
684,könig,king
685,danach,thereafter
686,funktioniert,functions
687,hattest,had
688,lernen,learn
689,deswegen,because of this
690,wow,Wow
691,nennen,to name
692,hm,Hm
693,feuer,fire
694,laufen,run
695,alleine,alone
696,erinnern,remember
697,völlig,fully
698,kleines,small
699,könnt,can
700,stelle,position
701,kumpel,buddy
702,verlieren,lose
703,probleme,problems
704,spricht,speaks
705,kaffee,coffee
706,luft,air
707,fand,found
708,i,i
709,entschuldige,sorry
710,ziehen,pull
711,verschwinden,disappear
712,könntest,could
713,seht,see
714,aufhören,stop
715,eigenen,own
716,richtige,correct
717,unserem,our
718,suche,search
719,zwar,that is
720,groß,large
721,hol,get
722,buch,book
723,krank,sick
724,fühle,feel
725,jedes,each
726,verstehst,understand
727,wert,value
728,arzt,physician
729,froh,glad
730,versuche,try
731,straße,street
732,rufen,call
733,heiraten,marry
734,super,super
735,sam,sam
736,lebt,lives
737,gutes,good
738,lasse,let
739,onkel,uncle
740,total,total
741,gebracht,brought
742,party,party
743,erklären,explain
744,spielt,plays
745,wahl,choice
746,vertrauen,trust
747,damals,at that time
748,tagen,meetings
749,leicht,light
750,nachdem,after
751,gegangen,gone
752,gefühl,feeling
753,kaufen,buy
754,geschafft,done
755,typen,types
756,interessiert,interested
757,möchten,want
758,halte,hold
759,hält,holds
760,glaub,believe
761,irgendwo,somewhere
762,stück,piece
763,genauso,just as
764,kennt,knows
765,genommen,taken
766,zukunft,future
767,weniger,fewer
768,cool,cool
769,licht,light
770,getroffen,met
771,himmel,heaven
772,nachricht,news
773,drüben,over
774,passt,fits
775,sagten,said
776,kümmern,take care
777,laut,loud
778,vergiss,forget
779,angerufen,called
780,sitzen,sit
781,daß,that
782,erde,earth
783,großer,large
784,schlüssel,key
785,rest,rest
786,passieren,happen
787,eher,rather
788,gefragt,asked
789,gefängnis,jail
790,opfer,victim
791,körper,body
792,solche,such
793,mist,crap
794,mr,Mr.
795,findet,finds
796,schreiben,write
797,böse,evil
798,gesprochen,spoken
799,versuch,attempt
800,vorstellen,introduce
801,wovon,of which
802,sobald,as soon as
803,nochmal,again
804,herren,gentlemen
805,sex,sex
806,waffen,weapons
807,wohnung,apartment
808,weh,sore
809,heißen,be called
810,krankenhaus,hospital
811,bringe,bring
812,höre,hear
813,millionen,millions
814,klasse,class
815,hart,hard
816,worden,been
817,sinn,sense
818,außerdem,aside from that
819,verletzt,injured
820,ändern,change
821,erfahren,experience
822,tragen,carry
823,wenigstens,at least
824,vorsichtig,cautious
825,daddy,daddy
826,stolz,proud
827,stark,strong
828,fällt,falls
829,möchtest,want
830,leuten,people
831,besonders,particularly
832,schöne,beautiful
833,schicken,send
834,person,person
835,schätze,appreciate
836,solange,as long as
837,länger,longer
838,großartig,great
839,lacht,laughs
840,anrufen,call
841,stand,stand
842,redest,talking
843,fühlen,feel
844,erwartet,expected
845,boden,floor
846,boss,boss
847,stimme,agree
848,glaubt,believes
849,still,quiet
850,sicherheit,security
851,setz,set
852,ma,ma
853,mund,mouth
854,kämpfen,battle
855,wisst,know
856,lachen,laugh
857,hörst,hear
858,zeug,things
859,lustig,funny
860,umbringen,kill
861,sollst,should
862,hasse,hate
863,schlimm,terrible
864,o,O
865,unglaublich,incredible
866,wärst,would be
867,laden,load
868,führen,lead
869,gestorben,died
870,schauen,look
871,meinung,opinion
872,lesen,read
873,mörder,murderer
874,frank,frank
875,ähm,um
876,geschehen,happen
877,geschäft,business
878,idiot,idiot
879,verzeihung,forgiveness
880,fliegen,fly
881,zeig,show
882,team,team
883,general,general
884,mike,Mike
885,aufs,on the
886,york,York
887,vorher,previously
888,schluss,ending
889,schneller,faster
890,liebt,loves
891,verdient,earned
892,mögen,like
893,meisten,most
894,denk,think
895,umgebracht,killed
896,perfekt,perfect
897,versprochen,promised
898,handy,cell phone
899,hinten,rear
900,monate,months
901,erinnere,remember
902,acht,eight
903,arbeitet,works
904,fallen,fall
905,rufe,call
906,nötig,necessary
907,a,a
908,mord,murder
909,heraus,out of here
910,tages,daily
911,unmöglich,impossible
912,liebling,darling
913,charlie,Charlie
914,tatsächlich,actually
915,folgen,consequences
916,bitten,ask
917,behalten,keep
918,nähe,vicinity
919,arbeite,work
920,joe,Joe
921,verdammte,damned
922,plötzlich,suddenly
923,lebens,life
924,hole,hole
925,tisch,table
926,michael,Michael
927,hörte,heard
928,jemals,ever
929,liegen,lay
930,verkaufen,sell
931,gefährlich,dangerous
932,anfangen,begin
933,bekommt,receives
934,machte,made
935,ha,Ha
936,hotel,hotel
937,hilft,helps
938,werdet,will
939,meister,master
940,kampf,battle
941,antwort,answer
942,konnten,could
943,geschickt,sent
944,jedem,everyone
945,obwohl,although
946,sieben,seven
947,komisch,funny
948,gewinnen,win
949,ihres,their
950,bezahlt,paid
951,you,you
952,voller,full
953,unterwegs,on the way
954,dumm,dumb
955,ärger,aggravation
956,bild,picture
957,george,George
958,neu,new
959,bezahlen,pay
960,dagegen,against it
961,seien,be
962,starb,died
963,tom,Tom
964,monaten,months
965,leiche,corpse
966,niemanden,no one
967,auge,eye
968,arschloch,asshole
969,verheiratet,married
970,peter,Peter
971,zieh,pull
972,nimmt,takes
973,gerettet,saved
974,agent,agent
975,traum,dream
976,entscheidung,decision
977,schlimmer,worse
978,regeln,regulate
979,fenster,window
980,fangen,catch
981,fort,continued
982,ständig,constant
983,findest,find
984,gefahr,danger
985,absolut,absolutely
986,mary,Mary
987,augenblick,moment
988,bescheid,notice
989,rum,rum
990,gedanken,thoughts
991,werd,will
992,ziel,goal
993,benutzt,used
994,bewegung,movement
995,jemandem,someone
996,wünschte,wished
997,worte,words
998,kamen,came
999,welcher,which
1000,zahlen,pay
1001,anfang,beginning
1002,legen,place
1003,erinnerst,remember
1004,anwalt,attorney
1005,fahr,drive
1006,sitzt,sits
1007,hilf,help
1008,offen,open
1009,schönen,beautiful
1010,monsieur,gentleman
1011,müsste,should
1012,arme,poor
1013,bier,beer
1014,fürs,for the
1015,partner,partner
1016,klein,small
1017,david,David
1018,klappe,flap
1019,süß,sweet
1020,herum,around
1021,finger,finger
1022,ehe,before
1023,rolle,role
1024,ließ,let
1025,gleiche,same
1026,monat,month
1027,hochzeit,wedding
1028,max,max
1029,führt,leads
1030,paris,Paris
1031,wach,awake
1032,wozu,for what reason
1033,arm,arm
1034,geschrieben,written
1035,chef,boss
1036,benutzen,use
1037,informationen,information
1038,erledigt,completed
1039,hoffentlich,hopefully
1040,müsst,must
1041,fühlt,feels
1042,tanzen,dance
1043,ansehen,view
1044,darfst,may
1045,zuhause,at home
1046,wunderbar,wonderful
1047,hältst,hold
1048,reise,trip
1049,gewonnen,won
1050,dame,lady
1051,irgendwann,sometime
1052,chffffff,chffffff
1053,alex,alex
1054,steckt,stuck
1055,jedenfalls,anyway
1056,schreit,screams
1057,tolle,great
1058,rüber,over
1059,tschüss,bye
1060,nennt,calls
1061,raum,space
1062,heiß,hot
1063,foto,photo
1064,kalt,cold
1065,paul,Paul
1066,irgendetwas,anything
1067,weile,while
1068,bisher,until now
1069,minute,minute
1070,unbedingt,absolutely
1071,zug,train
1072,sekunden,seconds
1073,wofür,for what
1074,erzähl,tell
1075,nen,nen
1076,beweise,proofs
1077,nahm,took
1078,aller,all
1079,freut,happy
1080,seele,soul
1081,schießen,shoot
1082,müde,tired
1083,dauert,lasts
1084,magst,like
1085,harry,Harry
1086,brief,letter
1087,gelernt,learned
1088,sucht,seeks
1089,bekannt,known
1090,weitere,more
1091,unfall,accident
1092,dahin,there
1093,kontrolle,control
1094,beispiel,example
1095,lady,lady
1096,dasselbe,the same
1097,herzen,hearts
1098,schlagen,hit
1099,wütend,angry
1100,weise,way
1101,damen,ladies
1102,darin,in it
1103,gottes,God's
1104,holt,gets
1105,fehlt,missing
1106,vorsicht,caution
1107,heiße,hot
1108,beweisen,prove
1109,gehabt,had
1110,zumindest,at least
1111,vermisst,missing
1112,hübsch,pretty
1113,kriegt,gets
1114,verbindung,connection
1115,tief,deep
1116,richtung,direction
1117,lage,location
1118,sowieso,anyway
1119,kraft,power
1120,normal,normal
1121,lauf,run
1122,ehre,honor
1123,stell,set
1124,geschenk,gift
1125,bar,bear
1126,tasche,bag
1127,gelesen,read
1128,gekauft,bought
1129,wussten,knew
1130,gestohlen,stolen
1131,hunger,hunger
1132,leg,leg
1133,lügen,lie
1134,beziehung,relationship
1135,ben,ben
1136,verschwunden,disappeared
1137,steh,stand
1138,nächstes,next
1139,gearbeitet,worked
1140,preis,price
1141,witz,joke
1142,meinte,said
1143,liste,list
1144,geist,spirit
1145,neben,next to
1146,gesucht,wanted
1147,firma,company
1148,süße,sweetness
1149,rücken,back
1150,schrecklich,terrible
1151,letzter,last
1152,verliebt,in love
1153,öffnen,open
1154,redet,talks
1155,boot,boat
1156,seltsam,strange
1157,versteckt,hidden
1158,fürchte,fear
1159,verschwinde,disappear
1160,erwischt,caught
1161,verkauft,sold
1162,tante,aunt
1163,erwarten,expect
1164,pferd,horse
1165,wunder,wonder
1166,sauer,sour
1167,vermutlich,allegedly
1168,näher,closer
1169,major,major
1170,jung,young
1171,majestät,majesty
1172,aussehen,look
1173,ans,to
1174,de,de
1175,and,and
1176,links,left
1177,großes,large
1178,welches,which
1179,beschützen,protect
1180,geboren,born
1181,erreichen,to reach
1182,punkt,point
1183,kindern,children
1184,kirche,church
1185,verraten,betrayed
1186,selber,himself
1187,befehl,command
1188,colonel,colonel
1189,fährt,drives
1190,zieht,pulls
1191,geburtstag,birthday
1192,haut,skin
1193,wette,bet
1194,reich,rich
1195,sekunde,second
1196,fahre,drive
1197,schwöre,swear
1198,geredet,talked
1199,james,James
1200,madame,Madam
1201,eigene,own
1202,zeiten,times
1203,traurig,sad
1204,anruf,call
1205,nachrichten,news
1206,frieden,peace
1207,karte,map
1208,güte,quality
1209,euren,your
1210,diesmal,this time
1211,schade,too bad
1212,persönlich,personal
1213,kriege,wars
1214,stirbt,dies
1215,bleibe,stay
1216,verändert,changed
1217,sonne,sun
1218,lieb,dear
1219,nämlich,namely
1220,letztes,last
1221,bekam,got
1222,ruft,calls
1223,professor,professor
1224,gericht,court
1225,nase,nose
1226,ewig,forever
1227,singen,sing
1228,bank,bank
1229,beschäftigt,busy
1230,computer,computer
1231,yeah,yeah
1232,toten,kill
1233,weihnachten,Christmas
1234,offensichtlich,apparently
1235,naja,Oh well
1236,henry,Henry
1237,gefühle,feelings
1238,fuß,foot
1239,show,show
1240,überraschung,surprise
1241,geheimnis,secret
1242,fbi,FBI
1243,kontakt,contact
1244,gold,gold
1245,drogen,drugs
1246,regierung,government
1247,wein,wine
1248,kriegst,get
1249,ermordet,murdered
1250,fotos,photos
1251,entfernt,removed
1252,geschlafen,slept
1253,manche,some
1254,erledigen,complete
1255,ran,ran
1256,gegenüber,opposite
1257,schlaf,sleep
1258,lust,desire
1259,wunderschön,beautiful
1260,witzig,funny
1261,nick,Nick
1262,zerstört,destroyed
1263,übrigens,by the way
1264,willen,sake
1265,heim,home
1266,richtigen,correct
1267,deines,yours
1268,namens,called
1269,zeigt,shows
1270,geliebt,loved
1271,gehören,belong
1272,brachte,brought
1273,herrn,Mr.
1274,blick,view
1275,besuch,visit
1276,schlechte,bad
1277,bewegen,move
1278,haare,hair
1279,antworten,answer
1280,präsident,president
1281,sagtest,said
1282,hoffnung,hope
1283,stecken,put
1284,lebe,live
1285,rechts,right
1286,interessant,interesting
1287,entscheiden,decide
1288,miteinander,each other
1289,meint,thinks
1290,liebst,love
1291,indem,by
1292,bleibst,stay
1293,kümmere,take care
1294,wohnen,reside
1295,weder,neither
1296,möglichkeit,possibility
1297,kaputt,broken
1298,bekomme,get
1299,flugzeug,airplane
1300,vergangenheit,past
1301,anderer,other
1302,zweite,second
1303,armee,army
1304,jim,Jim
1305,tee,tea
1306,entweder,either
1307,weiss,white
1308,don,Don
1309,detective,detective
1310,aufhalten,stop
1311,stellt,represents
1312,verspreche,promise
1313,überrascht,surprised
1314,sauber,clean
1315,hau,hit
1316,mark,mark
1317,schlag,blow
1318,sheriff,sheriff
1319,untertitel,subtitles
1320,setzt,sets
1321,frag,ask
1322,vaters,father's
1323,nervös,nervous
1324,gesellschaft,company
1325,verstecken,hide
1326,schuldig,guilty
1327,hals,neck
1328,schützen,protect
1329,besuchen,visit
1330,of,of
1331,passen,fit
1332,überleben,survive
1333,erhalten,receive
1334,teilen,split
1335,gebäude,building
1336,schicksal,fate
1337,zeichen,sign
1338,richter,judge
1339,besorgt,worried
1340,küche,kitchen
1341,lief,ran
1342,vergnügen,enjoyment
1343,wüsste,would know
1344,volk,people
1345,lhr,Your
1346,herausfinden,find out
1347,königin,queen
1348,soldaten,soldiers
1349,feiern,celebrate
1350,situation,situation
1351,lag,lay
1352,gelassen,calm
1353,allerdings,however
1354,soweit,as far as
1355,gefahren,driven
1356,verstand,mind
1357,bord,board
1358,schönes,beautiful
1359,jimmy,Jimmy
1360,billy,Billy
1361,angefangen,begun
1362,lee,lee
1363,fühlst,feel
1364,bob,bob
1365,mussten,had to
1366,rat,council
1367,worauf,what
1368,gebeten,asked
1369,tony,Tony
1370,kamera,camera
1371,achtung,danger
1372,lieutenant,lieutenant
1373,ganzes,whole
1374,schuhe,shoes
1375,sarah,Sarah
1376,glückwunsch,congratulations
1377,niemandem,no one
1378,gibst,give
1379,statt,instead of
1380,übernehmen,take over
1381,gegend,area
1382,wald,forest
1383,al,al
1384,la,la
1385,nimmst,take
1386,danny,Danny
1387,erkennen,recognize
1388,glas,glass
1389,falsche,false
1390,verantwortlich,responsible
1391,jesus,Jesus
1392,stöhnt,moans
1393,herein,in
1394,kleid,a dress
1395,zerstören,destroy
1396,jawohl,yes indeed
1397,london,London
1398,gegessen,eaten
1399,abendessen,dinner
1400,gesetz,law
1401,gemeinsam,together
1402,geholfen,helped
1403,erster,first
1404,wohnt,lives
1405,schritt,step
1406,guck,look
1407,nahe,vicinity
1408,aussieht,looks like
1409,beginnen,start
1410,dachten,thought
1411,band,band
1412,ungefähr,approximately
1413,aufgabe,task
1414,neun,nine
1415,furchtbar,terrible
1416,drinnen,inside
1417,zuvor,before
1418,charles,Charles
1419,freue,am happy
1420,amerika,America
1421,übrig,left over
1422,spur,track
1423,falschen,false
1424,sergeant,sergeant
1425,melden,report
1426,helfe,help
1427,werfen,throw
1428,bill,bill
1429,haltet,hold
1430,erinnert,remembers
1431,hängt,hangs
1432,freude,joy
1433,ehemann,husband
1434,erschossen,shot
1435,verzeihen,pardon
1436,schwein,pig
1437,uh,uh
1438,monster,monster
1439,entschieden,decided
1440,mission,mission
1441,verdammten,damned
1442,brauch,need
1443,gewusst,known
1444,vorne,in front
1445,stopp,stop
1446,übel,bad
1447,schlampe,slut
1448,schöner,more beautiful
1449,adresse,address
1450,unsinn,nonsense
1451,messer,knife
1452,gesund,healthy
1453,respekt,respect
1454,pro,per
1455,leisten,afford
1456,davor,before
1457,richard,Richard
1458,bedeuten,mean
1459,ball,ball
1460,mitnehmen,take along
1461,gespielt,played
1462,to,to
1463,schwierigkeiten,difficulties
1464,hälfte,half
1465,kannte,knew
1466,stehe,stand
1467,maria,Mary
1468,planeten,planets
1469,schwanger,pregnant
1470,gruppe,group
1471,anna,Anna
1472,verhaftet,arrested
1473,deal,deal
1474,seines,his
1475,irgendwelche,any
1476,händen,hands
1477,versteht,understands
1478,drehen,turn
1479,eis,ice
1480,danken,thank
1481,erfolg,success
1482,zufrieden,satisfied
1483,schließen,close
1484,besorgen,obtain
1485,wochenende,weekend
1486,worüber,about what
1487,stimmen,voices
1488,nehmt,take
1489,martin,Martin
1490,m,m
1491,witze,jokes
1492,beine,legs
1493,verbrechen,crime
1494,bericht,report
1495,nachts,at night
1496,eurer,your
1497,prinzessin,princess
1498,schmerz,pain
1499,klingelt,rings
1500,position,position
1501,echte,real
1502,gleichen,same
1503,fernsehen,TV
1504,wünsche,wishes
1505,schließlich,finally
1506,gefangen,caught
1507,schätzchen,baby
1508,seh,see
1509,schwierig,difficult
1510,angebot,offer
1511,nah,close
1512,jane,Jane
1513,gewartet,waited
1514,kümmert,cares
1515,ring,ring
1516,rennen,run
1517,lied,song
1518,eier,eggs
1519,welchen,which
1520,sorry,sorry
1521,fantastisch,fantastic
1522,schaut,looks
1523,hielt,held
1524,falle,trap
1525,drink,drink
1526,insel,island
1527,dauern,last
1528,daher,therefore
1529,zufällig,randomly
1530,dorf,village
1531,clark,Clark
1532,bewegt,moved
1533,mitten,middle
1534,bullen,bulls
1535,feind,enemy
1536,einverstanden,agreed
1537,neuer,newer
1538,bauen,build
1539,trägt,carries
1540,hängen,hang
1541,freunden,friends
1542,deren,whose
1543,halb,half
1544,verpasst,missed
1545,sprach,spoke
1546,leise,quiet
